Date,  Galaxy,Planet_ID,Country,Disaster,Death_Count
01-05-2018,Milky Way,120,Malaysia,Earthquake,1
12-09-2018,Milky Way,104,Pakistan,Flood,23
20-11-2017,Sombrero,,Bangladesh,,1943
16-05-2017,Sombrero,,New Zealand,,0
30-09-2017,Milky Way,136,Spain,Flood,457
27-04-2019,Milky Way,16,Indonesia,Flood,80
16-03-2019,Milky Way,9,Mongolia,Earthquake,50
25-12-2018,Sombrero,,Bangladesh,,2796
21-12-2017,Sombrero,,Japan,,714
30-07-2017,Milky Way,269,UK,Earthquake,0
27-11-2017,Milky Way,77,North Korea,Volcano,13
13-04-2017,Sombrero,,India,,0
26-08-2018,Milky Way,36,India,Earthquake,34
22-01-2019,Milky Way,271,China,Landslide,0
23-08-2017,Milky Way,250,Japan,Volcano,9
28-08-2018,Milky Way,251,Malaysia,Earthquake,59
18-02-2018,Milky Way,20,Australia,Flood,22
26-11-2018,Milky Way,147,South Korea,BushFIre,81
07-07-2017,Milky Way,101,UK,Earthquake,0
23-06-2017,Milky Way,14,UK,Earthquake,0
11-10-2018,Milky Way,77,North Korea,Volcano,37
16-06-2018,Milky Way,8,Mongolia,Earthquake,75
22-01-2019,Milky Way,19,North Korea,Volcano,111
04-07-2019,Milky Way,265,France,Flood,0
28-12-2018,Sombrero,,Malaysia,,377
01-08-2017,Milky Way,17,France,Flood,0
13-09-2017,Milky Way,9,Mongolia,Earthquake,57
25-07-2018,Sombrero,,Malaysia,,606
19-07-2017,Milky Way,5,Bangladesh,Flood,107
25-08-2017,Milky Way,72,New Zealand,Landslide,4
14-10-2017,Milky Way,117,North Korea,Volcano,0
01-02-2019,Milky Way,65,India,Earthquake,1
04-03-2018,Sombrero,,Bangladesh,,1017
19-11-2018,Milky Way,7,Mongolia,Earthquake,47
27-07-2018,Milky Way,255,India,Earthquake,8
11-07-2018,Milky Way,21,North Korea,Volcano,40
10-01-2019,Sombrero,,Bangladesh,,1738
28-06-2019,Milky Way,61,Japan,Volcano,47
03-11-2017,Milky Way,67,Japan,Volcano,0
11-05-2017,Sombrero,,China,,0
10-04-2018,Milky Way,9,Mongolia,Earthquake,2
03-08-2018,Milky Way,17,France,Flood,12
22-07-2018,Sombrero,,Japan,,313
31-05-2017,Sombrero,,Australia,,264
04-05-2017,Milky Way,103,Singapore,Earthquake,4
26-11-2017,Milky Way,9,Mongolia,Earthquake,14
09-04-2018,Milky Way,34,Japan,Volcano,350
28-11-2017,Milky Way,270,UK,Earthquake,0
16-04-2018,Milky Way,43,Spain,Flood,6
18-02-2019,Milky Way,42,Mongolia,Earthquake,39
17-05-2019,Milky Way,76,Spain,Flood,21
27-03-2018,Milky Way,84,USA,BushFIre,0
03-07-2018,Milky Way,207,Japan,Volcano,8
21-03-2019,Milky Way,13,Spain,Flood,41
13-03-2019,Milky Way,260,Spain,Flood,11
18-10-2017,Milky Way,19,North Korea,Volcano,387
28-10-2017,Milky Way,202,Germany,Earthquake,16
14-04-2019,Sombrero,,UK,,359
25-03-2018,Sombrero,,Australia,,2332
05-11-2018,Sombrero,,Japan,,141
27-05-2018,Sombrero,,New Zealand,,0
07-08-2017,Milky Way,105,Japan,Volcano,10
31-05-2017,Milky Way,34,Japan,Volcano,450
13-05-2017,Milky Way,16,Indonesia,Flood,69
17-09-2017,Milky Way,68,Japan,Volcano,4
04-01-2019,Milky Way,42,Mongolia,Earthquake,41
22-12-2017,Milky Way,36,India,Earthquake,53
04-09-2017,Milky Way,66,France,Flood,0
18-02-2018,Milky Way,15,New Zealand,Landslide,15
18-05-2019,Milky Way,250,Japan,Volcano,19
13-06-2019,Milky Way,254,India,Earthquake,29
07-07-2018,Sombrero,,Bangladesh,,1996
16-05-2018,Milky Way,9,Mongolia,Earthquake,51
12-12-2017,Milky Way,70,North Korea,Volcano,10
25-05-2017,Milky Way,255,India,Earthquake,0
07-09-2017,Milky Way,254,India,Earthquake,2
06-06-2017,Milky Way,76,Spain,Flood,0
09-05-2019,Sombrero,,India,,26
20-03-2019,Milky Way,62,New Zealand,Landslide,13
10-04-2019,Sombrero,,Pakistan,,154
01-11-2018,Milky Way,42,Mongolia,Earthquake,0
16-05-2018,Sombrero,,Singapore,,3544
20-09-2018,Milky Way,62,New Zealand,Landslide,15
07-10-2018,Milky Way,76,Spain,Flood,1
24-05-2018,Milky Way,15,New Zealand,Landslide,33
03-06-2018,Milky Way,136,Spain,Flood,9
22-12-2017,Sombrero,,Singapore,,856
17-05-2018,Milky Way,260,Spain,Flood,0
08-07-2019,Sombrero,,Malaysia,,3
07-04-2018,Sombrero,,Singapore,,1226
17-11-2018,Sombrero,,China,,0
21-04-2018,Sombrero,,North Korea,,746
20-11-2017,Milky Way,13,Spain,Flood,0
06-04-2019,Milky Way,270,UK,Earthquake,0
20-03-2019,Milky Way,67,Japan,Volcano,190
01-12-2017,Milky Way,48,Australia,Flood,0
28-09-2017,Milky Way,257,Japan,Volcano,0
26-09-2017,Milky Way,68,Japan,Volcano,25
19-02-2018,Milky Way,48,Australia,Flood,56
21-04-2019,Milky Way,14,UK,Earthquake,58
21-07-2018,Milky Way,251,Malaysia,Earthquake,27
14-01-2018,Sombrero,,India,,57
27-06-2017,Milky Way,69,Spain,Flood,0
10-06-2017,Milky Way,79,Germany,Earthquake,7
22-01-2019,Sombrero,,Mongolia,,2371
13-12-2017,Milky Way,17,France,Flood,12
29-01-2018,Milky Way,264,New Zealand,Landslide,0
20-12-2017,Milky Way,16,Indonesia,Flood,79
23-06-2018,Sombrero,,USA,,566
09-03-2018,Milky Way,7,Mongolia,Earthquake,48
11-11-2018,Milky Way,63,Pakistan,Flood,28
21-05-2018,Milky Way,82,Russia,Flood,14
27-03-2018,Milky Way,136,Spain,Flood,113
28-03-2018,Milky Way,258,China,Landslide,0
26-05-2019,Milky Way,207,Japan,Volcano,0
30-05-2019,Sombrero,,Spain,,3228
30-05-2019,Sombrero,,Australia,,83
26-05-2017,Milky Way,43,Spain,Flood,0
21-01-2018,Milky Way,117,North Korea,Volcano,0
19-02-2019,Milky Way,70,North Korea,Volcano,29
22-10-2017,Milky Way,76,Spain,Flood,2
29-07-2017,Milky Way,70,North Korea,Volcano,17
12-12-2017,Milky Way,16,Indonesia,Flood,75
12-10-2017,Milky Way,103,Singapore,Earthquake,76
17-04-2019,Sombrero,,Bangladesh,,3662
25-07-2017,Milky Way,105,Japan,Volcano,7
20-05-2019,Milky Way,100,UK,Earthquake,22
02-06-2019,Milky Way,266,Indonesia,Flood,0
20-12-2018,Milky Way,250,Japan,Volcano,16
27-01-2018,Milky Way,270,UK,Earthquake,0
24-02-2019,Milky Way,100,UK,Earthquake,11
30-07-2017,Milky Way,19,North Korea,Volcano,52
26-04-2018,Milky Way,77,North Korea,Volcano,30
10-03-2018,Milky Way,16,Indonesia,Flood,131
08-06-2019,Milky Way,105,Japan,Volcano,44
29-06-2018,Milky Way,266,Indonesia,Flood,0
12-04-2017,Milky Way,121,Bangladesh,Flood,0
07-04-2017,Milky Way,147,South Korea,BushFIre,31
06-07-2017,Sombrero,,UK,,79
05-09-2018,Milky Way,159,Singapore,Earthquake,44
20-05-2019,Sombrero,,China,,0
22-04-2018,Milky Way,16,Indonesia,Flood,8
24-07-2017,Sombrero,,Japan,,260
31-10-2018,Milky Way,42,Mongolia,Earthquake,124
10-06-2017,Milky Way,135,North Korea,Volcano,123
20-02-2019,Milky Way,268,UK,Earthquake,0
25-05-2017,Sombrero,,China,,0
16-05-2017,Milky Way,271,China,Landslide,0
15-06-2019,Milky Way,63,Pakistan,Flood,21
13-11-2017,Milky Way,67,Japan,Volcano,178
05-04-2019,Milky Way,62,New Zealand,Landslide,7
19-01-2018,Milky Way,251,Malaysia,Earthquake,38
29-11-2017,Sombrero,,Pakistan,,0
12-07-2017,Milky Way,68,Japan,Volcano,13
06-01-2019,Milky Way,72,New Zealand,Landslide,5
30-08-2017,Milky Way,250,Japan,Volcano,3
28-06-2018,Milky Way,159,Singapore,Earthquake,7
06-11-2017,Milky Way,29,Mongolia,Earthquake,0
18-04-2018,Milky Way,135,North Korea,Volcano,279
01-06-2017,Milky Way,207,Japan,Volcano,0
17-09-2017,Milky Way,117,North Korea,Volcano,0
03-12-2017,Milky Way,20,Australia,Flood,6
29-04-2018,Milky Way,65,India,Earthquake,6
19-07-2018,Sombrero,,USA,,825
30-10-2018,Milky Way,65,India,Earthquake,44
14-05-2017,Milky Way,73,New Zealand,Landslide,7
26-07-2017,Milky Way,254,India,Earthquake,0
05-07-2018,Milky Way,84,USA,BushFIre,0
12-03-2019,Milky Way,104,Pakistan,Flood,34
15-05-2018,Sombrero,,USA,,579
04-06-2017,Sombrero,,North Korea,,23
02-07-2017,Milky Way,165,Australia,Earthquake,0
23-03-2018,Milky Way,16,Indonesia,Flood,151
22-05-2019,Milky Way,13,Spain,Flood,47
22-02-2019,Milky Way,264,New Zealand,Landslide,0
27-01-2018,Milky Way,35,Spain,Flood,6
11-10-2017,Milky Way,111,France,Flood,0
02-03-2019,Milky Way,265,France,Flood,0
21-09-2017,Milky Way,21,North Korea,Volcano,69
17-06-2018,Milky Way,74,North Korea,Volcano,10
01-05-2019,Milky Way,35,Spain,Flood,20
10-12-2018,Sombrero,,Japan,,209
25-02-2019,Milky Way,8,Mongolia,Earthquake,35
20-05-2018,Milky Way,20,Australia,Flood,23
26-11-2018,Milky Way,165,Australia,Earthquake,15
11-03-2019,Milky Way,9,Mongolia,Earthquake,60
02-11-2017,Milky Way,76,Spain,Flood,0
17-08-2017,Milky Way,111,France,Flood,0
15-04-2018,Milky Way,14,UK,Earthquake,0
30-07-2017,Milky Way,84,USA,BushFIre,0
12-07-2017,Milky Way,78,North Korea,Volcano,16
27-01-2018,Milky Way,42,Mongolia,Earthquake,35
29-08-2017,Milky Way,258,China,Landslide,0
11-06-2017,Sombrero,,Singapore,,0
09-10-2017,Sombrero,,Malaysia,,0
27-04-2017,Milky Way,34,Japan,Volcano,134
27-06-2019,Milky Way,121,Bangladesh,Flood,18
26-09-2017,Milky Way,21,North Korea,Volcano,89
23-08-2018,Milky Way,48,Australia,Flood,53
19-03-2018,Milky Way,18,North Korea,Volcano,94
04-10-2017,Milky Way,77,North Korea,Volcano,2
21-05-2017,Milky Way,10,Mongolia,Earthquake,7
26-11-2017,Milky Way,70,North Korea,Volcano,1
22-09-2018,Milky Way,262,UK,Earthquake,0
06-12-2018,Milky Way,78,North Korea,Volcano,31
16-07-2017,Sombrero,,Russia,,709
30-07-2018,Milky Way,104,Pakistan,Flood,33
11-09-2018,Milky Way,1,Mongolia,Earthquake,167
25-06-2018,Milky Way,255,India,Earthquake,31
23-11-2017,Sombrero,,Australia,,2121
01-11-2017,Milky Way,248,North Korea,Volcano,4
30-08-2017,Milky Way,265,France,Flood,0
28-07-2017,Milky Way,101,UK,Earthquake,0
15-01-2018,Milky Way,64,Bangladesh,Flood,2
16-08-2017,Milky Way,121,Bangladesh,Flood,0
28-03-2019,Milky Way,11,Mongolia,Earthquake,48
27-09-2017,Milky Way,73,New Zealand,Landslide,30
23-08-2018,Sombrero,,Australia,,2857
10-06-2019,Milky Way,11,Mongolia,Earthquake,95
31-05-2018,Milky Way,266,Indonesia,Flood,0
28-09-2018,Milky Way,76,Spain,Flood,20
06-06-2017,Milky Way,21,North Korea,Volcano,3
23-05-2018,Milky Way,20,Australia,Flood,45
22-02-2019,Milky Way,72,New Zealand,Landslide,17
23-08-2017,Milky Way,62,New Zealand,Landslide,19
05-06-2019,Milky Way,202,Germany,Earthquake,16
19-05-2018,Milky Way,78,North Korea,Volcano,27
17-10-2018,Sombrero,,New Zealand,,0
26-09-2018,Sombrero,,South Korea,,1235
31-10-2017,Milky Way,111,France,Flood,0
02-11-2017,Milky Way,159,Singapore,Earthquake,0
11-07-2019,Sombrero,,Bangladesh,,3186
02-06-2018,Milky Way,248,North Korea,Volcano,18
27-05-2018,Milky Way,7,Mongolia,Earthquake,10
13-03-2018,Milky Way,9,Mongolia,Earthquake,33
23-03-2019,Milky Way,66,France,Flood,8
30-07-2017,Milky Way,262,UK,Earthquake,0
24-12-2018,Milky Way,82,Russia,Flood,29
19-05-2018,Milky Way,15,New Zealand,Landslide,24
12-05-2017,Milky Way,159,Singapore,Earthquake,0
23-03-2018,Milky Way,29,Mongolia,Earthquake,27
26-05-2019,Milky Way,8,Mongolia,Earthquake,26
27-04-2018,Milky Way,18,North Korea,Volcano,54
16-03-2019,Sombrero,,Malaysia,,173
12-02-2018,Milky Way,5,Bangladesh,Flood,165
20-04-2017,Milky Way,74,North Korea,Volcano,25
06-09-2018,Milky Way,20,Australia,Flood,40
17-02-2018,Milky Way,85,North Korea,Volcano,18
11-03-2018,Milky Way,105,Japan,Volcano,3
01-07-2019,Sombrero,,New Zealand,,0
16-04-2018,Milky Way,147,South Korea,BushFIre,38
23-01-2018,Milky Way,62,New Zealand,Landslide,3
13-06-2018,Milky Way,15,New Zealand,Landslide,48
25-05-2019,Milky Way,15,New Zealand,Landslide,60
06-01-2019,Milky Way,70,North Korea,Volcano,2
09-03-2018,Milky Way,202,Germany,Earthquake,15
28-08-2018,Sombrero,,UK,,337
25-05-2018,Milky Way,18,North Korea,Volcano,47
09-05-2017,Sombrero,,Singapore,,0
25-04-2017,Milky Way,270,UK,Earthquake,0
15-05-2017,Milky Way,217,Singapore,Earthquake,0
20-01-2018,Milky Way,73,New Zealand,Landslide,8
06-07-2017,Milky Way,101,UK,Earthquake,0
12-03-2018,Milky Way,147,South Korea,BushFIre,22
30-06-2018,Milky Way,137,North Korea,Volcano,63
27-06-2018,Milky Way,207,Japan,Volcano,9
16-02-2019,Sombrero,,Bangladesh,,4104
15-12-2017,Milky Way,3,Canada,Landslide,121
25-06-2019,Milky Way,16,Indonesia,Flood,91
12-03-2018,Sombrero,,Bangladesh,,3296
03-05-2018,Milky Way,63,Pakistan,Flood,29
30-12-2018,Milky Way,8,Mongolia,Earthquake,37
10-11-2018,Milky Way,64,Bangladesh,Flood,22
27-09-2018,Milky Way,13,Spain,Flood,41
24-05-2017,Milky Way,84,USA,BushFIre,0
23-07-2018,Milky Way,165,Australia,Earthquake,16
31-01-2018,Milky Way,105,Japan,Volcano,71
21-09-2017,Sombrero,,North Korea,,371
25-07-2017,Milky Way,254,India,Earthquake,0
10-05-2017,Milky Way,36,India,Earthquake,56
17-01-2018,Milky Way,165,Australia,Earthquake,12
03-07-2017,Sombrero,,China,,0
08-12-2017,Milky Way,43,Spain,Flood,0
21-10-2017,Milky Way,250,Japan,Volcano,2
29-07-2018,Milky Way,105,Japan,Volcano,2
27-10-2017,Milky Way,16,Indonesia,Flood,103
29-06-2017,Milky Way,18,North Korea,Volcano,46
30-01-2018,Milky Way,8,Mongolia,Earthquake,45
10-12-2018,Milky Way,3,Canada,Landslide,170
18-09-2018,Sombrero,,Japan,,615
14-02-2019,Milky Way,66,France,Flood,31
29-04-2018,Milky Way,76,Spain,Flood,1
05-09-2018,Sombrero,,Singapore,,889
07-12-2017,Milky Way,7,Mongolia,Earthquake,31
13-02-2019,Milky Way,74,North Korea,Volcano,35
05-09-2017,Milky Way,9,Mongolia,Earthquake,17
09-12-2017,Milky Way,265,France,Flood,0
20-11-2018,Milky Way,261,China,Landslide,13
25-06-2019,Milky Way,14,UK,Earthquake,45
19-05-2017,Milky Way,10,Mongolia,Earthquake,48
16-05-2018,Milky Way,68,Japan,Volcano,39
05-09-2018,Sombrero,,Bangladesh,,1366
03-05-2019,Milky Way,103,Singapore,Earthquake,69
20-05-2017,Milky Way,262,UK,Earthquake,0
01-10-2018,Milky Way,82,Russia,Flood,5
18-05-2017,Sombrero,,Japan,,605
03-05-2019,Sombrero,,USA,,61
31-12-2018,Sombrero,,Mongolia,,39
25-03-2018,Milky Way,136,Spain,Flood,11
09-08-2017,Sombrero,,Mongolia,,1137
16-04-2019,Milky Way,5,Bangladesh,Flood,116
01-02-2019,Milky Way,34,Japan,Volcano,42
27-05-2019,Sombrero,,Singapore,,3620
22-11-2018,Milky Way,76,Spain,Flood,12
03-06-2019,Milky Way,73,New Zealand,Landslide,26
22-08-2017,Milky Way,7,Mongolia,Earthquake,24
08-06-2017,Sombrero,,South Korea,,99
25-06-2017,Sombrero,,Mongolia,,640
21-01-2019,Milky Way,68,Japan,Volcano,43
05-06-2019,Milky Way,100,UK,Earthquake,10
29-04-2019,Milky Way,217,Singapore,Earthquake,47
19-05-2018,Milky Way,265,France,Flood,0
09-10-2017,Milky Way,48,Australia,Flood,26
31-01-2018,Sombrero,,Pakistan,,0
30-04-2017,Milky Way,3,Canada,Landslide,402
01-04-2018,Milky Way,259,China,Landslide,0
03-03-2018,Sombrero,,Bangladesh,,1256
06-06-2018,Milky Way,147,South Korea,BushFIre,37
02-02-2018,Milky Way,34,Japan,Volcano,0
11-10-2017,Milky Way,79,Germany,Earthquake,52
12-01-2018,Milky Way,265,France,Flood,0
31-03-2019,Milky Way,63,Pakistan,Flood,29
27-07-2017,Sombrero,,Singapore,,0
05-12-2017,Milky Way,78,North Korea,Volcano,16
13-10-2017,Milky Way,13,Spain,Flood,30
02-02-2018,Milky Way,29,Mongolia,Earthquake,0
15-10-2018,Sombrero,,China,,0
05-05-2017,Milky Way,8,Mongolia,Earthquake,33
30-07-2018,Sombrero,,UK,,126
15-04-2019,Milky Way,117,North Korea,Volcano,13
02-03-2018,Sombrero,,South Korea,,28
11-11-2017,Milky Way,251,Malaysia,Earthquake,8
20-11-2018,Milky Way,121,Bangladesh,Flood,14
19-04-2019,Milky Way,16,Indonesia,Flood,95
14-05-2019,Sombrero,,Russia,,1638
30-01-2018,Milky Way,268,UK,Earthquake,0
25-08-2017,Milky Way,258,China,Landslide,0
27-08-2017,Milky Way,202,Germany,Earthquake,0
13-03-2018,Sombrero,,Australia,,4161
01-04-2018,Milky Way,65,India,Earthquake,0
24-05-2019,Milky Way,21,North Korea,Volcano,33
22-04-2017,Milky Way,16,Indonesia,Flood,46
24-05-2017,Sombrero,,South Korea,,249
24-11-2018,Sombrero,,Mongolia,,1822
24-09-2018,Sombrero,,Pakistan,,517
15-06-2017,Milky Way,266,Indonesia,Flood,0
03-11-2017,Milky Way,111,France,Flood,0
03-09-2018,Milky Way,14,UK,Earthquake,35
10-12-2018,Milky Way,8,Mongolia,Earthquake,28
25-05-2017,Milky Way,10,Mongolia,Earthquake,40
14-06-2019,Sombrero,,Bangladesh,,3597
27-09-2017,Sombrero,,USA,,230
13-05-2019,Milky Way,14,UK,Earthquake,67
24-07-2018,Milky Way,82,Russia,Flood,13
17-04-2019,Milky Way,262,UK,Earthquake,0
20-08-2017,Milky Way,84,USA,BushFIre,0
27-04-2018,Milky Way,70,North Korea,Volcano,11
05-12-2018,Milky Way,1,Mongolia,Earthquake,161
20-08-2018,Milky Way,43,Spain,Flood,9
24-08-2017,Milky Way,249,North Korea,Volcano,16
19-01-2018,Milky Way,263,France,Flood,0
02-05-2017,Milky Way,249,North Korea,Volcano,1
13-01-2018,Milky Way,10,Mongolia,Earthquake,37
03-01-2019,Milky Way,15,New Zealand,Landslide,62
07-07-2017,Milky Way,84,USA,BushFIre,0
03-12-2018,Milky Way,264,New Zealand,Landslide,0
15-12-2018,Milky Way,250,Japan,Volcano,21
27-04-2017,Milky Way,9,Mongolia,Earthquake,35
18-01-2019,Milky Way,147,South Korea,BushFIre,73
20-07-2017,Milky Way,64,Bangladesh,Flood,14
02-11-2018,Milky Way,42,Mongolia,Earthquake,0
28-03-2018,Milky Way,1,Mongolia,Earthquake,255
23-06-2018,Milky Way,14,UK,Earthquake,0
19-07-2018,Milky Way,78,North Korea,Volcano,38
26-04-2019,Milky Way,42,Mongolia,Earthquake,30
06-05-2017,Sombrero,,Pakistan,,0
22-12-2017,Milky Way,248,North Korea,Volcano,17
26-06-2019,Milky Way,267,France,Flood,0
27-06-2018,Milky Way,67,Japan,Volcano,166
17-02-2019,Milky Way,67,Japan,Volcano,25
16-10-2018,Milky Way,15,New Zealand,Landslide,75
16-11-2017,Milky Way,250,Japan,Volcano,17
26-05-2018,Sombrero,,South Korea,,765
19-07-2017,Milky Way,105,Japan,Volcano,2
25-03-2018,Milky Way,84,USA,BushFIre,0
01-10-2017,Milky Way,137,North Korea,Volcano,22
06-11-2017,Milky Way,262,UK,Earthquake,0
23-01-2018,Sombrero,,Bangladesh,,2351
05-09-2018,Milky Way,76,Spain,Flood,14
07-03-2018,Milky Way,21,North Korea,Volcano,68
07-11-2017,Milky Way,20,Australia,Flood,6
04-04-2019,Sombrero,,Mongolia,,216
12-11-2017,Milky Way,257,Japan,Volcano,0
25-09-2018,Milky Way,76,Spain,Flood,11
14-06-2019,Milky Way,7,Mongolia,Earthquake,21
04-11-2018,Milky Way,11,Mongolia,Earthquake,50
04-01-2018,Sombrero,,South Korea,,83
26-12-2018,Milky Way,9,Mongolia,Earthquake,38
12-07-2018,Milky Way,67,Japan,Volcano,110
21-07-2017,Milky Way,43,Spain,Flood,0
02-07-2019,Milky Way,7,Mongolia,Earthquake,87
22-12-2018,Milky Way,18,North Korea,Volcano,44
11-03-2019,Milky Way,159,Singapore,Earthquake,46
08-11-2018,Sombrero,,Singapore,,257
06-03-2018,Milky Way,267,France,Flood,0
30-07-2018,Milky Way,67,Japan,Volcano,191
10-10-2018,Milky Way,202,Germany,Earthquake,68
04-10-2017,Milky Way,270,UK,Earthquake,0
08-05-2017,Milky Way,100,UK,Earthquake,0
02-09-2018,Milky Way,3,Canada,Landslide,8
22-05-2019,Milky Way,65,India,Earthquake,31
28-09-2018,Milky Way,159,Singapore,Earthquake,41
20-07-2018,Sombrero,,Bangladesh,,3612
23-10-2017,Milky Way,207,Japan,Volcano,0
07-07-2017,Milky Way,251,Malaysia,Earthquake,0
26-06-2019,Milky Way,255,India,Earthquake,23
01-02-2019,Milky Way,16,Indonesia,Flood,23
17-05-2017,Milky Way,66,France,Flood,0
13-05-2018,Milky Way,62,New Zealand,Landslide,5
08-04-2019,Milky Way,165,Australia,Earthquake,18
27-06-2018,Milky Way,85,North Korea,Volcano,39
10-06-2019,Milky Way,79,Germany,Earthquake,53
09-08-2018,Milky Way,84,USA,BushFIre,6
08-01-2019,Milky Way,121,Bangladesh,Flood,6
01-02-2018,Milky Way,104,Pakistan,Flood,8
22-05-2018,Milky Way,62,New Zealand,Landslide,8
01-06-2019,Sombrero,,Japan,,255
17-10-2017,Milky Way,263,France,Flood,0
20-12-2018,Milky Way,3,Canada,Landslide,200
12-04-2017,Milky Way,147,South Korea,BushFIre,20
05-04-2018,Milky Way,19,North Korea,Volcano,0
05-01-2019,Sombrero,,Mongolia,,520
05-08-2018,Milky Way,21,North Korea,Volcano,0
24-06-2019,Milky Way,271,China,Landslide,4
27-10-2018,Sombrero,,UK,,207
24-05-2019,Sombrero,,Pakistan,,387
09-12-2017,Sombrero,,Mongolia,,810
13-01-2019,Milky Way,137,North Korea,Volcano,12
23-09-2017,Milky Way,249,North Korea,Volcano,9
03-05-2017,Sombrero,,New Zealand,,0
01-05-2017,Milky Way,266,Indonesia,Flood,0
08-12-2018,Sombrero,,New Zealand,,0
08-09-2018,Sombrero,,Russia,,46
14-12-2017,Milky Way,255,India,Earthquake,10
06-02-2018,Milky Way,261,China,Landslide,0
23-04-2019,Milky Way,248,North Korea,Volcano,7
26-09-2017,Milky Way,271,China,Landslide,0
27-12-2018,Milky Way,258,China,Landslide,13
19-01-2018,Sombrero,,India,,1040
12-09-2017,Milky Way,11,Mongolia,Earthquake,57
08-04-2018,Milky Way,74,North Korea,Volcano,0
27-01-2018,Milky Way,77,North Korea,Volcano,16
30-09-2017,Milky Way,269,UK,Earthquake,0
25-12-2017,Milky Way,11,Mongolia,Earthquake,44
26-08-2018,Milky Way,70,North Korea,Volcano,23
10-10-2018,Milky Way,266,Indonesia,Flood,0
07-01-2019,Milky Way,62,New Zealand,Landslide,16
12-07-2017,Milky Way,43,Spain,Flood,0
11-03-2019,Milky Way,207,Japan,Volcano,11
